Date,Close,Open,High,Low,Returns,Amplitude,Week,Year,Month,Weekday,Day,Pre_1_Week_Mean,Pre_2_Week_Mean,Pre_4_Week_Mean,Next_1_Week_Mean,Next_2_Week_Mean,Next_4_Week_Mean,Close_MA5,Close_MA10,Close_MA50,Close_MA100,Close_EMA12,Close_EMA26,Close_MACD_12-26,Next_1_Week_Mean_Diff,Next_2_Week_Mean_Diff,Next_4_Week_Mean_Diff,Next_1_Week_Mean_Returns,Next_2_Week_Mean_Returns,Next_4_Week_Mean_Returns,Next_1_Week_Mean_Diff_Label,Next_2_Week_Mean_Diff_Label,Next_4_Week_Mean_Diff_Label,Next_1_Week_Mean_Diff_Label2,Next_2_Week_Mean_Diff_Label2,Next_4_Week_Mean_Diff_Label2,Next_1_Week_Mean_Returns_Label,Next_2_Week_Mean_Returns_Label,Next_4_Week_Mean_Returns_Label,Next_1_Week_Mean_Returns_Label2,Next_2_Week_Mean_Returns_Label2,Next_4_Week_Mean_Returns_Label2,Close_1_Week_Mean,is_First_or_Last_1_WeekDay,Close_1_Week_Mean_Diff,Close_1_Week_Mean_Returns,Close_1_Week_Mean_Diff_Label2,Close_1_Week_Mean_Diff_Label3,Week//2,Close_2_Week_Mean,is_First_or_Last_2_WeekDay,Close_2_Week_Mean_Diff,Close_2_Week_Mean_Returns,Close_2_Week_Mean_Diff_Label2,Close_2_Week_Mean_Diff_Label3,Close_1_Month_Mean,is_First_or_Last_1_MonthDay,Close_1_Month_Mean_Diff,Close_1_Month_Mean_Returns,Close_1_Month_Mean_Returns_Label2,Close_1_Month_Mean_Diff_Label2,Close_1_Month_Mean_Diff_Label3
2009-09-03,4036,4050,4086,4020,-0.02062606163552536,-0.88,36,2009,9,3,3,4226.0,4277.1,4479.6,4013.4,4000.7,3955.9,4191.2,4240.7,4226.74,3942.8,4270.059050442691,4319.672745300988,-49.613694858297094,-212.5999999999999,-276.40000000000055,-523.7000000000003,-0.050307619498343566,-0.06462322601762889,-0.11690775962139482,0,0,0,0,0,0,0,0,0,0,0,0,4153.2,0,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-04,4060,4047,4084,4016,0.005946481665014866,-0.07,36,2009,9,4,4,4191.2,4240.7,4437.8,3998.2,3995.6,3939.05,4153.2,4222.7,4230.7,3948.55,4237.742273165549,4300.433976187898,-62.69170302234943,-193.0,-245.0999999999999,-498.75,-0.04604886428707769,-0.057797061805833924,-0.11238676821848663,0,0,0,0,0,0,0,0,0,0,0,0,4153.2,1,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-07,4055,4033,4059,4020,-0.0012315270935960591,-0.35,37,2009,9,0,7,4153.2,4222.7,4396.3,3998.2,3994.6,3922.95,4106.6,4201.2,4234.4,3954.35,4209.628077083426,4282.250399049842,-72.62232196641526,-155.0,-228.0999999999999,-473.35000000000036,-0.03732062024463065,-0.0540175716958344,-0.10767008620885753,0,0,0,0,0,0,0,0,0,0,0,0,3998.2,-1,-155.0,-0.03732062024463065,0,0,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-08,4018,3919,4018,3908,-0.009124537607891493,-2.83,37,2009,9,1,8,4106.6,4201.2,4354.8,3987.2,3987.2,3899.2,4058.0,4157.9,4237.84,3958.83,4180.146834268431,4262.67302298842,-82.52618871998857,-119.40000000000055,-214.0,-455.60000000000036,-0.029075147323820324,-0.050937827287441687,-0.10462018921649682,0,0,0,0,0,0,0,0,0,0,0,0,3998.2,0,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-09,3898,3944,3959,3880,-0.029865604778496764,0.64,37,2009,9,2,9,4058.0,4157.9,4318.1,3969.0,3982.4,3879.65,4013.4,4119.7,4239.16,3961.99,4136.73962876367,4235.656025000955,-98.91639623728497,-89.0,-175.49999999999955,-438.4500000000003,-0.02193198620009857,-0.04220880733062353,-0.10153771334614767,0,0,0,0,0,0,1,0,0,0,0,0,3998.2,0,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-10,3960,4042,4048,3955,0.01590559261159569,2.48,37,2009,9,3,10,4013.4,4119.7,4282.1,3988.0,3990.3,3867.5,3998.2,4094.7,4241.84,3965.65,4109.5489165228455,4215.234133581262,-105.68521705841613,-25.40000000000009,-129.39999999999964,-414.60000000000036,-0.006328798524941469,-0.03141005413015502,-0.0968216529273021,0,0,0,0,0,0,1,0,0,0,0,0,3998.2,0,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-11,4060,4007,4078,4003,0.025252525252525252,-0.87,37,2009,9,4,11,3998.2,4094.7,4247.85,3993.0,3990.1,3853.45,3998.2,4075.7,4245.92,3970.05,4101.926006259304,4203.733782868325,-101.80777660902095,-5.199999999999818,-104.59999999999991,-394.40000000000055,-0.0013005852633684704,-0.025545216987813493,-0.09284696964346681,0,0,0,0,0,0,1,1,0,0,0,0,3998.2,1,0.0,0.0,1,1,18,4075.7,1,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-14,4000,3972,4025,3957,-0.014778325123152709,-0.87,38,2009,9,0,14,3998.2,4075.7,4219.8,3991.0,3972.2,3838.5,3987.2,4046.9,4248.58,3974.25,4086.2450821684843,4188.640537145463,-102.39545497697873,-7.199999999999818,-103.5,-381.3000000000002,-0.0018008103646640534,-0.025394410776063008,-0.09035973268875307,0,0,0,0,0,0,1,1,0,0,0,0,3991.0,-1,-7.199999999999818,-0.0018008103646640534,0,0,19,3972.2,-1,-103.5,-0.025394410776063008,0,0,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-15,3927,3973,3975,3900,-0.01825,0.03,38,2009,9,1,15,3987.2,4046.9,4188.8,3987.2,3955.2,3830.0,3969.0,4013.5,4249.96,3978.02,4061.7458386906233,4169.257551570823,-107.51171288019987,0.0,-91.70000000000027,-358.8000000000002,0.0,-0.022659319479107532,-0.08565699006875481,1,0,0,1,0,0,1,1,0,1,0,0,3991.0,0,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-16,3993,3967,3996,3951,0.01680672268907563,-0.15,38,2009,9,2,16,3969.0,4013.5,4163.0,3995.8,3943.7,3827.65,3988.0,4000.7,4252.3,3982.66,4051.1695557905505,4156.200061227647,-105.03050543709651,26.800000000000182,-69.80000000000018,-335.3499999999999,0.006752330561854417,-0.017391304347826132,-0.08055488830170549,2,0,0,1,0,0,1,1,0,1,0,0,3991.0,0,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
2009-09-17,3985,4036,4040,3966,-0.0020035061357375405,1.74,38,2009,9,3,17,3988.0,4000.7,4138.9,3992.6,3911.1,3819.9,3993.0,3995.6,4254.78,3987.38,4040.989624110436,4143.517338233146,-102.52771412270977,4.599999999999909,-89.59999999999991,-318.99999999999955,0.0011534603811434074,-0.02239608068587995,-0.0770736185943124,2,0,0,1,0,0,1,1,0,1,0,0,3991.0,0,0.0,0.0,1,1,19,3972.2,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
