Date,Close,Open,High,Low,Date,Year,Month,Week,Weekday,Day,Returns,Pre_1_Week_Mean,Next_1_Week_Mean,Next_1_Week_Mean_Diff,Next_1_Week_Mean_Returns,Next_1_Week_Mean_Returns_Label2,Pre_2_Week_Mean,Next_2_Week_Mean,Next_2_Week_Mean_Diff,Next_2_Week_Mean_Returns,Next_2_Week_Mean_Returns_Label2,Pre_4_Week_Mean,Next_4_Week_Mean,Next_4_Week_Mean_Diff,Next_4_Week_Mean_Returns,Next_4_Week_Mean_Returns_Label2
2009-03-31,0.4285395763656633,0.422002200220022,0.4244415243101183,0.4373711930386993,2009-03-31,2009,3,14,1,31,0.0,,0.42515050167224083,,,1,,0.41756967670011147,,,1,,0.42331103678929766,,,1
2009-04-01,0.4258639910813824,0.4231023102310231,0.4213753832676303,0.43805816349896953,2009-04-01,2009,4,14,2,1,-0.006243496357960402,,0.4189074693422519,,,1,,0.41589743589743594,,,1,,0.42270903010033445,,,1
2009-04-02,0.4307692307692308,0.4226622662266227,0.4202803328953132,0.44080604534005036,2009-04-02,2009,4,14,3,2,0.01151832460732987,,0.4163210702341137,,,1,,0.4166109253065775,,,1,,0.4223634336677815,,,1
2009-04-03,0.4274247491638796,0.40638063806380637,0.41743320192728867,0.4208839019922143,2009-04-03,2009,4,14,4,3,-0.007763975155279498,,0.4125752508361204,,,1,,0.4171014492753623,,,1,,0.42209587513935337,,,1
2009-04-06,0.4131549609810479,0.40088008800880087,0.40275952693823913,0.41630409892374626,2009-04-06,2009,4,15,0,6,-0.03338549817423066,,0.4098104793756968,,,1,,0.41819397993311036,,,1,,0.4224080267558528,,,1
2009-04-08,0.39732441471571905,0.41034103410341033,0.4108628996933859,0.4103503549347378,2009-04-08,2009,4,15,2,8,-0.03831624392876416,0.42515050167224083,0.40998885172798216,-0.01516164994425867,-0.03566184182924278,0,,0.4212931995540691,,,1,,0.4241360089186176,,,1
2009-04-09,0.4129319955406912,0.40418041804180416,0.4049496276828734,0.4208839019922143,2009-04-09,2009,4,15,3,9,0.039281705948372686,0.4189074693422519,0.41288740245261984,-0.006020066889632081,-0.01437087502661267,0,,0.42508361204013384,,,1,,0.42600891861761425,,,1
2009-04-10,0.41204013377926424,0.4052805280528053,0.4038545773105563,0.42179986260590796,2009-04-10,2009,4,15,4,10,-0.002159827213822875,0.4163210702341137,0.41690078037904127,0.000579710144927581,0.0013924592973437236,1,,0.42664437012263096,,,1,,0.4276588628762541,,,1
2009-04-13,0.4136008918617614,0.4088008800880088,0.4067017082785808,0.424089764140142,2009-04-13,2009,4,16,0,13,0.0037878787878786865,0.4125752508361204,0.42162764771460426,0.00905239687848386,0.021941201902291454,1,,0.42782608695652175,,,1,,0.42903010033444816,,,1
2009-04-14,0.4140468227424749,0.4055005500550055,0.40538764783180026,0.42271582321960155,2009-04-14,2009,4,16,1,14,0.0010781671159029553,0.4098104793756968,0.42657748049052396,0.01676700111482715,0.04091403699673545,1,,0.42849498327759195,,,1,,0.4305016722408027,,,1
2009-04-15,0.41181716833890747,0.4255225522552255,0.42882172579938677,0.42386077398671856,2009-04-15,2009,4,16,2,15,-0.005385029617662849,0.40998885172798216,0.43259754738015604,0.022608695652173882,0.05514465956058291,1,0.41756967670011147,0.42905239687848384,0.011482720178372374,0.027498932080307615,1,,0.4322853957636566,,,1
2009-04-16,0.4329988851727982,0.42596259625962596,0.4266316250547525,0.4424089764140142,2009-04-16,2009,4,16,3,16,0.05143475906876016,0.41288740245261984,0.4372798216276477,0.02439241917502788,0.0590776541743169,1,0.41589743589743594,0.42952062430323296,0.013623188405797015,0.0327561250201038,1,,0.4342920847268673,,,1
2009-04-17,0.43567447045707913,0.43344334433443343,0.43495400788436267,0.4469887794824823,2009-04-17,2009,4,16,4,17,0.006179196704428369,0.41690078037904127,0.43638795986622075,0.019487179487179485,0.04674296716226334,1,0.4166109253065775,0.4281159420289855,0.011505016722408001,0.027615734546427552,1,,0.43480490523968784,,,1
2009-04-20,0.4383500557413601,0.4387238723872387,0.4393342093736312,0.4495076711701397,2009-04-20,2009,4,17,0,20,0.006141248720573256,0.42162764771460426,0.4340245261984393,0.012396878483835028,0.029402432575357004,1,0.4171014492753623,0.4270903010033445,0.009988851727982195,0.023948254664029587,1,,0.43500557413600893,,,1
